Class,Precision,Recall,F1 Score,Accuracy
0,0.21256038647342995,0.2802547770700637,0.24175824175824176,0.2802547770700637
1,0.0,0.0,0.0,0.0
2,0.05660377358490566,0.02027027027027027,0.029850746268656716,0.02027027027027027
3,0.15789473684210525,0.075,0.1016949152542373,0.075
4,0.03225806451612903,0.018292682926829267,0.023346303501945526,0.018292682926829267
5,0.17857142857142858,0.062111801242236024,0.09216589861751152,0.062111801242236024
6,0.04017857142857143,0.054878048780487805,0.04639175257731959,0.054878048780487805
7,0.030927835051546393,0.019736842105263157,0.024096385542168676,0.019736842105263157
8,0.17757009345794392,0.11585365853658537,0.14022140221402213,0.11585365853658537
9,0.5,0.06707317073170732,0.11827956989247312,0.06707317073170732
10,0.1782178217821782,0.125,0.1469387755102041,0.125
11,0.0,0.0,0.0,0.0
12,0.13793103448275862,0.024390243902439025,0.04145077720207254,0.024390243902439025
13,0.012048192771084338,0.0045662100456621,0.006622516556291391,0.0045662100456621
14,0.2743362831858407,0.13247863247863248,0.1786743515850144,0.13247863247863248
15,0.0,0.0,0.0,0.0
16,0.12244897959183673,0.04195804195804196,0.0625,0.04195804195804196
17,0.18571428571428572,0.23493975903614459,0.2074468085106383,0.23493975903614459
18,0.21839080459770116,0.1144578313253012,0.15019762845849802,0.1144578313253012
19,0.3162393162393162,0.24342105263157895,0.275092936802974,0.24342105263157895
20,0.17475728155339806,0.10843373493975904,0.13382899628252787,0.10843373493975904
21,0.24444444444444444,0.22,0.23157894736842105,0.22
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.41414141414141414,0.2469879518072289,0.30943396226415093,0.2469879518072289
25,0.06832298136645963,0.06707317073170732,0.06769230769230769,0.06707317073170732
26,0.1510791366906475,0.12804878048780488,0.13861386138613863,0.12804878048780488
27,0.3488372093023256,0.09036144578313253,0.14354066985645933,0.09036144578313253
28,0.125,0.04,0.06060606060606061,0.04
29,0.528125,0.7222222222222222,0.6101083032490975,0.7222222222222222
30,0.2608695652173913,0.07317073170731707,0.11428571428571428,0.07317073170731707
31,0.11849710982658959,0.16666666666666666,0.13851351351351351,0.16666666666666666
32,0.17993079584775087,0.21138211382113822,0.19439252336448598,0.21138211382113822
33,0.1634980988593156,0.2621951219512195,0.20140515222482436,0.2621951219512195
34,0.13352272727272727,0.2865853658536585,0.1821705426356589,0.2865853658536585
35,0.071875,0.1402439024390244,0.09504132231404959,0.1402439024390244
36,0.4098360655737705,0.16339869281045752,0.2336448598130841,0.16339869281045752
37,0.04,0.006024096385542169,0.010471204188481676,0.006024096385542169
38,0.14181818181818182,0.23493975903614459,0.17687074829931973,0.23493975903614459
39,0.11235955056179775,0.13333333333333333,0.12195121951219512,0.13333333333333333
40,0.225,0.2922077922077922,0.2542372881355932,0.2922077922077922
41,0.15753424657534246,0.46,0.23469387755102042,0.46
42,0.47368421052631576,0.2222222222222222,0.3025210084033613,0.2222222222222222
43,0.3942307692307692,0.3153846153846154,0.3504273504273504,0.3153846153846154
44,0.33170731707317075,0.4358974358974359,0.3767313019390582,0.4358974358974359
45,0.5240384615384616,0.6566265060240963,0.5828877005347594,0.6566265060240963
46,0.20134228187919462,0.19230769230769232,0.19672131147540983,0.19230769230769232
47,0.6448598130841121,0.8625,0.7379679144385026,0.8625
48,0.14285714285714285,0.11965811965811966,0.13023255813953488,0.11965811965811966
49,0.06,0.030303030303030304,0.040268456375838924,0.030303030303030304
50,0.5106382978723404,0.8674698795180723,0.6428571428571429,0.8674698795180723
51,0.15728715728715728,0.3323170731707317,0.21351616062683643,0.3323170731707317
52,0.15544041450777202,0.18292682926829268,0.16806722689075632,0.18292682926829268
53,0.045454545454545456,0.012048192771084338,0.01904761904761905,0.012048192771084338
54,0.16639741518578352,0.6204819277108434,0.2624203821656051,0.6204819277108434
55,0.10144927536231885,0.08536585365853659,0.09271523178807947,0.08536585365853659
56,0.16379310344827586,0.8417721518987342,0.27422680412371137,0.8417721518987342
57,0.010869565217391304,0.006024096385542169,0.007751937984496124,0.006024096385542169
58,0.07607361963190185,0.3780487804878049,0.12665985699693566,0.3780487804878049
59,0.22040816326530613,0.3253012048192771,0.26277372262773724,0.3253012048192771
60,0.23863636363636365,0.535031847133758,0.3300589390962672,0.535031847133758
61,0.1797752808988764,0.0963855421686747,0.12549019607843137,0.0963855421686747
62,0.056338028169014086,0.04819277108433735,0.05194805194805195,0.04819277108433735
63,0.06369426751592357,0.0641025641025641,0.06389776357827476,0.0641025641025641
64,0.035443037974683546,0.08917197452229299,0.050724637681159424,0.08917197452229299
65,0.15151515151515152,0.21084337349397592,0.17632241813602015,0.21084337349397592
66,0.03571428571428571,0.024390243902439025,0.028985507246376812,0.024390243902439025
67,0.10465116279069768,0.10843373493975904,0.10650887573964497,0.10843373493975904
68,0.24074074074074073,0.0783132530120482,0.11818181818181818,0.0783132530120482
69,0.35294117647058826,0.21686746987951808,0.26865671641791045,0.21686746987951808
70,0.0,0.0,0.0,0.0
71,0.13372093023255813,0.13855421686746988,0.13609467455621302,0.13855421686746988
72,0.07432432432432433,0.07746478873239436,0.07586206896551724,0.07746478873239436
73,0.09333333333333334,0.06862745098039216,0.07909604519774012,0.06862745098039216
74,0.14193548387096774,0.13253012048192772,0.13707165109034267,0.13253012048192772
75,0.16847826086956522,0.12601626016260162,0.14418604651162792,0.12601626016260162
76,0.5454545454545454,0.6951219512195121,0.6112600536193029,0.6951219512195121
77,0.22580645161290322,0.042682926829268296,0.07179487179487179,0.042682926829268296
78,0.07142857142857142,0.01875,0.0297029702970297,0.01875
79,0.0894854586129754,0.1834862385321101,0.12030075187969924,0.1834862385321101
80,0.30405405405405406,0.25280898876404495,0.27607361963190186,0.25280898876404495
81,0.16363636363636364,0.06,0.08780487804878048,0.06
82,0.058823529411764705,0.012903225806451613,0.021164021164021163,0.012903225806451613
83,0.06481481481481481,0.04794520547945205,0.05511811023622047,0.04794520547945205
84,0.08906882591093117,0.1375,0.10810810810810811,0.1375
85,0.11392405063291139,0.054878048780487805,0.07407407407407407,0.054878048780487805
86,0.010416666666666666,0.006024096385542169,0.007633587786259542,0.006024096385542169
87,0.07692307692307693,0.006097560975609756,0.011299435028248588,0.006097560975609756
88,0.092,0.09349593495934959,0.09274193548387097,0.09349593495934959
89,0.08064516129032258,0.03048780487804878,0.04424778761061947,0.03048780487804878
90,0.06315789473684211,0.036585365853658534,0.04633204633204633,0.036585365853658534
91,0.11450381679389313,0.06465517241379311,0.08264462809917356,0.06465517241379311
92,0.125,0.06944444444444445,0.08928571428571429,0.06944444444444445
93,0.5374149659863946,0.4759036144578313,0.5047923322683706,0.4759036144578313
94,0.03389830508474576,0.03418803418803419,0.03404255319148936,0.03418803418803419
95,0.696078431372549,0.696078431372549,0.696078431372549,0.696078431372549
96,0.08050847457627118,0.1144578313253012,0.0945273631840796,0.1144578313253012
97,0.1346704871060172,0.21171171171171171,0.1646234676007005,0.21171171171171171
98,0.16901408450704225,0.20253164556962025,0.18426103646833014,0.20253164556962025
99,0.13114754098360656,0.14457831325301204,0.13753581661891118,0.14457831325301204
100,0.17142857142857143,0.18072289156626506,0.17595307917888564,0.18072289156626506
101,0.06,0.02027027027027027,0.030303030303030304,0.02027027027027027
102,0.12195121951219512,0.10683760683760683,0.11389521640091116,0.10683760683760683
103,0.0641025641025641,0.04504504504504504,0.05291005291005291,0.04504504504504504
104,0.11811023622047244,0.06756756756756757,0.08595988538681948,0.06756756756756757
105,0.19850187265917604,0.6463414634146342,0.3037249283667622,0.6463414634146342
106,0.1276595744680851,0.036585365853658534,0.05687203791469194,0.036585365853658534
107,0.8230088495575221,0.5602409638554217,0.6666666666666666,0.5602409638554217
108,0.6701030927835051,0.3987730061349693,0.5,0.3987730061349693
109,0.37373737373737376,0.4457831325301205,0.4065934065934066,0.4457831325301205
110,0.1,0.006622516556291391,0.012422360248447204,0.006622516556291391
111,0.2905982905982906,0.23943661971830985,0.2625482625482625,0.23943661971830985
112,0.13010204081632654,0.3355263157894737,0.1875,0.3355263157894737
113,0.1875,0.018292682926829267,0.03333333333333333,0.018292682926829267
114,0.08,0.013071895424836602,0.02247191011235955,0.013071895424836602
115,0.125,0.013333333333333334,0.024096385542168676,0.013333333333333334
116,0.10526315789473684,0.10596026490066225,0.10561056105610561,0.10596026490066225
117,0.0875,0.04666666666666667,0.06086956521739131,0.04666666666666667
118,0.07246376811594203,0.03333333333333333,0.045662100456621,0.03333333333333333
119,0.05555555555555555,0.018072289156626505,0.02727272727272727,0.018072289156626505
120,0.16569767441860464,0.3475609756097561,0.22440944881889763,0.3475609756097561
121,0.5039370078740157,0.7710843373493976,0.6095238095238096,0.7710843373493976
122,0.07547169811320754,0.0975609756097561,0.0851063829787234,0.0975609756097561
123,0.4504792332268371,0.8703703703703703,0.5936842105263158,0.8703703703703703
124,0.19607843137254902,0.06097560975609756,0.09302325581395349,0.06097560975609756
125,0.01282051282051282,0.008130081300813009,0.009950248756218905,0.008130081300813009
126,0.2631578947368421,0.21084337349397592,0.23411371237458195,0.21084337349397592
127,0.1721311475409836,0.12650602409638553,0.14583333333333334,0.12650602409638553
128,0.22,0.08943089430894309,0.12716763005780346,0.08943089430894309
129,0.21518987341772153,0.1511111111111111,0.17754569190600522,0.1511111111111111
130,0.14084507042253522,0.16260162601626016,0.1509433962264151,0.16260162601626016
131,0.18518518518518517,0.03125,0.053475935828877004,0.03125
132,0.291866028708134,0.3719512195121951,0.32707774798927614,0.3719512195121951
133,0.08258928571428571,0.16228070175438597,0.10946745562130178,0.16228070175438597
134,0.09375,0.047244094488188976,0.06282722513089005,0.047244094488188976
135,0.0,0.0,0.0,0.0
136,0.13147410358565736,0.2088607594936709,0.16136919315403422,0.2088607594936709
137,0.2,0.3453815261044177,0.2533136966126657,0.3453815261044177
138,0.38271604938271603,0.7898089171974523,0.5155925155925156,0.7898089171974523
139,0.2694610778443114,0.5625,0.3643724696356275,0.5625
140,0.3333333333333333,0.3375,0.33540372670807456,0.3375
